# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
19784,0,0,1.44117e+08,CPU2_533,2,16.013,1083,50
39514,0,0,1.08666e+09,CPU2_532,2,120.741,1411,50
1177,0,0,8.14749e+08,CPU2_531,2,90.5277,2743,50
39834,0,0,1.36222e+09,CPU2_530,2,151.357,1551,50
5113,0,0,1.42318e+09,CPU2_529,2,158.131,1641,50
20078,0,0,8.74438e+08,SW5_26,2,0.672644,299,7
20123,0,0,3.649e+07,SW5_25,2,0.0280692,258,7
10224,0,0,4.8599e+08,CPU2_528,2,53.9988,2562,50
10354,0,0,3.91112e+08,CPU2_527,2,43.4568,2802,50
41209,0,0,7.46979e+08,CPU2_526,2,82.9977,1850,50
41451,0,0,1.75133e+09,CPU2_525,2,194.592,2144,50
41535,0,0,1.00055e+09,CPU2_524,2,111.173,1785,50
1284,0,0,1.31201e+09,CPU2_523,2,145.779,2406,50
2655,0,0,1.91346e+09,CPU2_522,2,212.606,2161,50
21206,0,0,3.69014e+08,CPU2_521,2,41.0016,1012,50
42393,0,0,8.87915e+08,CPU2_520,2,98.6573,1792,50
42491,0,0,1.38641e+09,CPU2_519,2,154.045,3023,50
5364,0,0,1.30284e+09,CPU2_518,2,144.76,1921,50
42608,0,0,5.35145e+08,CPU2_517,2,59.4605,1773,50
10675,0,0,1.84267e+09,SW5_24,2,1.41744,665,7
21312,0,0,1.45659e+09,CPU2_516,2,161.843,3095,50
43109,0,0,7.83605e+08,CPU2_515,2,87.0673,2038,50
1397,0,0,1.03157e+09,CPU2_514,2,114.619,1746,50
21649,0,0,8.44919e+08,CPU2_513,2,93.8799,2864,50
43248,0,0,6.60387e+08,CPU2_512,2,73.3764,2955,50
10959,0,0,1.63594e+09,CPU2_511,2,181.772,1642,50
21884,0,0,1.88728e+09,SW5_23,2,1.45176,423,7
21999,0,0,1.49021e+09,SW5_22,2,1.14632,226,7
43801,0,0,3.96715e+08,CPU2_510,2,44.0795,1697,50
43829,0,0,2.08257e+09,SW5_21,2,1.60198,422,7
22076,0,0,1.22129e+08,CPU2_509,2,13.5699,2436,50
44268,0,0,9.52389e+08,CPU2_508,2,105.821,2093,50
44376,0,0,1.53871e+09,CPU2_507,2,170.968,1938,50
5503,0,0,1.87778e+09,CPU2_506,2,208.642,1498,50
44714,0,0,6.67512e+08,SW6_52,2,0.667362,847,13
44826,0,0,8.03477e+08,CPU2_505,2,89.2753,1970,50
45210,0,0,9.59429e+08,CPU2_504,2,106.603,1395,50
45785,0,0,1.65098e+09,CPU2_503,2,183.442,1104,50
46118,0,0,1.13191e+09,CPU2_502,2,125.768,2168,50
23347,0,0,1.96019e+09,SW5_20,2,1.50784,544,7
23358,0,0,1.30258e+09,CPU2_501,2,144.731,967,50
2860,0,0,6.7863e+08,CPU2_500,2,75.4034,1131,50
2900,0,0,1.58741e+09,SW5_19,2,1.22109,117,7
23457,0,0,1.08257e+09,CPU2_499,2,120.286,1153,50
1472,0,0,1.85003e+09,CPU2_498,2,205.559,1370,50
23774,0,0,2.02088e+09,CPU2_497,2,224.542,2317,50
47633,0,0,5.58479e+08,CPU2_496,2,62.0533,1779,50
47636,0,0,7.96278e+08,CPU2_495,2,88.4753,1802,50
47762,0,0,9.35893e+08,SW6_51,2,0.935682,804,13
12005,0,0,1.84314e+09,CPU2_494,2,204.793,1192,50
24102,0,0,6.74286e+08,CPU2_493,2,74.9207,2553,50
48305,0,0,1.51787e+09,SW5_18,2,1.16759,458,7
3008,0,0,3.40105e+08,SW5_17,2,0.26162,660,7
12112,0,0,1.55509e+09,CPU2_492,2,172.788,1564,50
24231,0,0,2.0805e+09,SW5_16,2,1.60039,612,7
24452,0,0,1.90553e+09,SW5_15,2,1.46579,513,7
49337,0,0,6.66488e+08,SW6_50,2,0.666338,713,13
12291,0,0,2.78437e+08,CPU2_491,2,30.9375,1829,50
49733,0,0,1.61285e+09,CPU2_490,2,179.206,2795,50
49980,0,0,1.51736e+09,CPU2_489,2,168.596,2211,50
6365,0,0,1.62088e+09,CPU2_488,2,180.098,2804,50
