# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
35554,0,0,1.55603e+09,CPU3_409,17,1540.62,1591,98
35586,0,15.3313,2.01415e+08,SW4_20,17,15.5112,649,5
35603,0,0,1.72416e+09,CPU3_408,17,1707.08,1510,98
35730,0,15.3333,1.81914e+09,SW4_9,17,16.9576,693,5
36095,0,15.4146,2.04241e+09,SW4_21,17,17.2382,957,5
9106,0,0,1.67594e+09,CPU3_407,17,1659.35,2945,98
36416,0,16.1193,7.77691e+08,SW2_4,17,16.8263,461,4
36523,0,15.4362,5.01839e+08,SW4_34,17,15.8842,732,5
18293,0,15.4389,9.026e+08,SW4_36,17,16.2448,1000,5
1148,0,0,1.44409e+08,CPU3_406,17,142.979,1032,98
36986,0,16.1687,2.60926e+08,SW2_6,17,16.4059,360,4
18653,0,15.4632,5.33305e+08,SW4_38,17,15.9394,814,5
18787,0,0,1.34249e+09,CPU3_405,17,1329.19,1304,98
18845,0,15.4831,4.7653e+08,SW4_32,17,15.9086,719,5
9449,0,0,4.62075e+08,CPU3_404,17,457.5,2127,98
37899,0,15.5112,1.65514e+08,SW4_20,17,15.6589,807,5
18979,0,0,3.65921e+07,CPU3_403,17,36.2298,2557,98
9512,0,16.2454,7.83181e+06,SW2_17,17,16.2525,428,4
38034,0,16.2525,8.42448e+08,SW2_17,17,17.0184,471,4
69,0,15.6589,2.62519e+08,SW4_20,17,15.8933,914,5
38252,0,16.262,4.1864e+08,SW2_18,17,16.6426,74,4
38505,0,0,1.15773e+09,CPU3_402,17,1146.27,2780,98
19452,0,15.6839,1.97677e+09,SW4_22,17,17.4489,617,5
39041,0,16.3736,5.86022e+08,SW2_5,17,16.9063,195,4
19554,0,16.4059,1.6646e+09,SW2_6,17,17.9192,135,4
9773,0,0,2.00201e+09,CPU3_401,17,1982.19,2576,98
39336,0,0,9.97954e+08,CPU3_400,17,988.073,1069,98
9835,0,0,1.08116e+09,CPU3_399,17,1070.45,1885,98
305,0,0,6.39294e+08,CPU3_398,17,632.965,2841,98
39710,0,15.6908,7.19603e+08,SW4_33,17,16.3333,752,5
39787,0,16.4309,5.66688e+08,SW2_3,17,16.9461,29,4
4978,0,0,2.17103e+08,CPU3_397,17,214.953,1712,98
1243,0,16.5178,4.59708e+08,SW2_13,17,16.9357,389,4
40020,0,0,2.66589e+08,CPU3_396,17,263.95,1235,98
40670,0,0,6.17096e+08,CPU3_395,17,610.986,2781,98
20440,0,0,3.24434e+08,CPU3_394,17,321.222,2986,98
5105,0,0,8.91902e+08,CPU3_393,17,883.071,2991,98
20477,0,0,6.03784e+08,CPU3_392,17,597.806,1798,98
41143,0,0,1.09739e+09,CPU3_391,17,1086.53,1020,98
10300,0,0,1.19583e+07,CPU3_390,17,11.8399,1219,98
20625,0,0,1.30396e+09,CPU3_389,17,1291.05,2207,98
41398,0,16.5486,1.94815e+08,SW2_9,17,16.7257,427,4
20691,0,15.7085,9.0678e+08,SW4_15,17,16.5181,622,5
20711,0,15.7099,1.17117e+09,SW4_37,17,16.7556,767,5
41456,0,16.6228,8.1462e+08,SW2_0,17,17.3634,494,4
10372,0,16.6426,9.7767e+08,SW2_18,17,17.5314,314,4
41563,0,0,1.33932e+09,CPU3_388,17,1326.06,1089,98
20800,0,0,4.52539e+08,CPU3_387,17,448.058,3135,98
41704,0,16.6859,3.44405e+08,SW2_11,17,16.999,112,4
41818,0,0,1.28334e+09,CPU3_386,17,1270.63,1750,98
41827,0,0,1.85415e+09,CPU3_385,17,1835.8,1811,98
2623,0,0,4.0579e+07,CPU3_384,17,40.1772,1721,98
10601,0,16.7257,7.96108e+08,SW2_9,17,17.4495,260,4
42632,0,0,1.9989e+09,CPU3_383,17,1979.11,1959,98
